Sample Name,Protocol REF,Parameter Value: DNA Fragmentation,Parameter Value: DNA Fragment Size,Extract Name,Protocol REF,Parameter Value: Library Strategy,Parameter Value: Library Selection,Parameter Value: Library Layout,Protocol REF,Parameter Value: Sequencing Instrument,Assay Name,Parameter Value: Read Length,Raw Data File,Protocol REF,Parameter Value: Read Depth,Parameter Value: MultiQC File Names
GSM2684058,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684058,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684058_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684058_R2_raw.fastq.gz",GeneLab raw data processing protocol,121705532 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684059,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684059,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684059_R2_raw.fastq.gz, GLDS-524_wgbs_GSM2684059_R1_raw.fastq.gz",GeneLab raw data processing protocol,125506087 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684060,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684060,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684060_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684060_R2_raw.fastq.gz",GeneLab raw data processing protocol,124250067 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684061,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684061,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684061_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684061_R2_raw.fastq.gz",GeneLab raw data processing protocol,127659454 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684062,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684062,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684062_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684062_R2_raw.fastq.gz",GeneLab raw data processing protocol,126360478 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684063,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684063,Library Construction,Bisulfite-Seq,RANDOM-PCR,PAIRED,Nucleic Acid Sequencing,Illumina HiSeq 4000,Bisulfite-Seq,150 base pair,"GLDS-524_wgbs_GSM2684063_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684063_R2_raw.fastq.gz",GeneLab raw data processing protocol,138417466 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684064,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684064,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684064_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684064_R2_raw.fastq.gz",GeneLab raw data processing protocol,252983 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684065,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684065,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684065_R2_raw.fastq.gz, GLDS-524_wgbs_GSM2684065_R1_raw.fastq.gz",GeneLab raw data processing protocol,219059 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684066,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684066,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684066_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684066_R2_raw.fastq.gz",GeneLab raw data processing protocol,212458 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684067,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684067,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684067_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684067_R2_raw.fastq.gz",GeneLab raw data processing protocol,168361 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684068,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684068,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684068_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684068_R2_raw.fastq.gz",GeneLab raw data processing protocol,199027 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684069,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684069,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684069_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684069_R2_raw.fastq.gz",GeneLab raw data processing protocol,202776 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684070,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684070,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684070_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684070_R2_raw.fastq.gz",GeneLab raw data processing protocol,234908 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684071,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684071,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684071_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684071_R2_raw.fastq.gz",GeneLab raw data processing protocol,213334 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684072,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684072,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684072_R2_raw.fastq.gz, GLDS-524_wgbs_GSM2684072_R1_raw.fastq.gz",GeneLab raw data processing protocol,217558 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684073,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684073,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684073_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684073_R2_raw.fastq.gz",GeneLab raw data processing protocol,212746 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684074,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684074,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684074_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684074_R2_raw.fastq.gz",GeneLab raw data processing protocol,219767 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684075,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684075,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684075_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684075_R2_raw.fastq.gz",GeneLab raw data processing protocol,199327 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684076,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684076,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684076_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684076_R2_raw.fastq.gz",GeneLab raw data processing protocol,214269 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684077,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684077,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684077_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684077_R2_raw.fastq.gz",GeneLab raw data processing protocol,193869 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684078,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684078,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684078_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684078_R2_raw.fastq.gz",GeneLab raw data processing protocol,90942 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684079,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684079,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684079_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684079_R2_raw.fastq.gz",GeneLab raw data processing protocol,187559 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684080,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684080,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684080_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684080_R2_raw.fastq.gz",GeneLab raw data processing protocol,189166 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684081,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684081,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684081_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684081_R2_raw.fastq.gz",GeneLab raw data processing protocol,182152 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
GSM2684082,Nucleic Acid Extraction,sonication,200-300 base pair,GSM2684082,Library Construction,BisPCR2,other,PAIRED,Nucleic Acid Sequencing,Illumina MiSeq,BisPCR2,150 base pair,"GLDS-524_wgbs_GSM2684082_R1_raw.fastq.gz, GLDS-524_wgbs_GSM2684082_R2_raw.fastq.gz",GeneLab raw data processing protocol,183590 read,GLDS-524_Gwgbs_raw_multiqc_report.zip
